DT,USE_CNT,USE_MIN,USE_CNT_RATIO,USE_MIN_RATIO
2020/04,851180395.0,79312809290.0,55.58,56.48
2020/05,1106718275.0,66444905280.0,72.27,47.32
2020/06,1031243460.0,94334739525.0,67.34,67.18
2020/07,996042580.0,92789681010.0,65.04,66.08
2020/08,448084130.0,36652332860.0,29.26,26.1
2020/09,851892015.0,77079730260.0,55.63,54.89
2020/10,789156745.0,63216308545.0,51.53,45.02
2020/11,637348530.0,61200973080.0,41.62,43.58
2020/12,668059795.0,46701636020.0,43.62,33.26
2021/01,613076100.0,54389405005.0,40.03,38.73
2021/02,678957305.0,58859049340.0,44.33,41.91
2021/03,798924945.0,73849146735.0,52.17,52.59
2021/04,955000670.0,87938070220.0,62.36,62.62
2021/05,930110545.0,85091660940.0,60.73,60.59
2021/06,985152805.0,91741411710.0,64.33,65.33
2021/07,807694225.0,72635021355.0,52.74,51.72
2021/08,690724450.0,45722011530.0,45.1,32.56
2021/09,1050731240.0,90424692605.0,68.61,64.39
2021/10,910638235.0,84446324365.0,59.46,60.13
2021/11,658109270.0,67443417535.0,42.97,48.03
2021/12,584515165.0,57700579495.0,38.17,41.09
2022/01,601631615.0,56247940970.0,39.28,40.05
2022/02,544255595.0,47468369000.0,35.54,33.8
2022/03,705225365.0,65822879785.0,46.05,46.87
2022/04,1043224975.0,100177614875.0,68.12,71.34
2022/05,1078838020.0,109893256655.0,70.44,78.26
2022/06,918467160.0,93404509640.0,59.97,66.51
2022/07,838288360.0,84607163745.0,54.74,60.25
2022/08,750229805.0,72600396180.0,48.99,51.7
2022/09,948257960.0,90264605730.0,61.92,64.28
2022/10,756923895.0,77147291065.0,49.42,54.94
2022/11,681834725.0,67091981125.0,44.52,47.78
2022/12,538174780.0,53680939780.0,35.14,38.23
2023/01,534803425.0,50766507805.0,34.92,36.15
2023/02,588932955.0,55451653660.0,38.46,39.49
2023/03,878509255.0,82303068575.0,57.36,58.61
2023/04,955406205.0,91301334410.0,62.39,65.02
2023/05,1006183165.0,100754309955.0,65.7,71.75
2023/06,216719230.0,21602657180.0,14.15,15.38
