YEAR_MONTH,USE_CNT_RATIO,USE_MIN_RATIO,MOSQUITO_VALUE_PARK
2020-06,67.34,67.18,75.79333333333334
2020-07,65.04,66.08,72.66451612903225
2020-08,29.26,26.1,87.98709677419355
2020-09,55.63,54.89,68.5125
2020-10,51.53,45.02,29.42258064516129
2020-11,41.62,43.58,21.6
2020-12,43.62,33.26,21.6
2021-01,40.03,38.73,19.953125
2021-02,44.33,41.91,0.3793103448275862
2021-03,52.17,52.59,3.131428571428572
2021-04,62.36,62.62,19.13030303030303
2021-05,60.73,60.59,28.36060606060606
2021-06,64.33,65.33,51.30303030303031
2021-07,52.74,51.72,73.12285714285714
2021-08,45.1,32.56,68.8029411764706
2021-09,68.61,64.39,53.906060606060606
2021-10,59.46,60.13,30.2
2021-11,42.97,48.03,7.113333333333333
2021-12,38.17,41.09,0.0290322580645161
2022-01,39.28,40.05,0.0
2022-02,35.54,33.8,0.0
2022-03,46.05,46.87,2.096875
2022-04,68.12,71.34,20.086666666666662
2022-05,70.44,78.26,33.165625
2022-06,59.97,66.51,54.52333333333333
2022-07,54.74,60.25,66.9258064516129
2022-08,48.99,51.7,59.483870967741936
2022-09,61.92,64.28,48.803225806451614
2022-10,49.42,54.94,25.374193548387098
2022-11,44.52,47.78,13.503225806451614
2022-12,35.14,38.23,0.0064516129032258
2023-01,34.92,36.15,0.0
2023-02,38.46,39.49,0.0
2023-03,57.36,58.61,13.338709677419354
2023-04,62.39,65.02,36.16666666666666
2023-05,65.7,71.75,28.038709677419355
2023-06,14.15,15.38,40.7
